"Отметка времени","Укажите ваш возраст","Выберите ваш курс обучения","Сколько часов в сутки вы спите?","Как часто вы занимаетесь спортом?","Читаете ли вы книги?","Хватает ли вам времени на хобби?","Сколько часов в сутки в среднем вы проводите в смартфоне?","На что вы тратите больше всего времени, когда проводите его в смартфоне? Выберите не более двух вариантов","Насколько легко вы справляетесь с учебой?","Как часто вы прокрастинируете?","Как часто вы чувствуете себя разбитым или уставшим?"
"2026/04/23 1:19:14 PM GMT+5","20","3","7 часов","Раз в неделю","Да, редко","Да","8 - 10 часов","Скроллинг соцсетей;Игры","2","7","2"
"2026/04/23 1:21:26 PM GMT+5","21","3","8 часов","Раз в неделю","Не читаю","Нет","4 - 6 часов","Коммуникация по учебе или работе;Скроллинг соцсетей;Переписка с друзьями;Игры","2","7","5"
"2026/04/23 1:21:45 PM GMT+5","20","3","7 часов","Два - три раза в неделю","Да, редко","Нет","8 - 10 часов","Коммуникация по учебе или работе;Игры","5","7","7"
"2026/04/23 1:22:01 PM GMT+5","20","3","7 часов","Два - три раза в неделю","Не читаю","Нет","Более 10 часов","Скроллинг соцсетей;Игры","3","5","7"
"2026/04/23 1:26:57 PM GMT+5","20","3","8 часов","Раз в неделю","Не читаю","Да","2 - 4 часа","Коммуникация по учебе или работе;Скроллинг соцсетей;Переписка с друзьями","6","4","5"
"2026/04/23 1:27:13 PM GMT+5","20","3","7 часов","Не занимаюсь спортом","Да, редко","Нет","4 - 6 часов","Коммуникация по учебе или работе;Скроллинг соцсетей;Переписка с друзьями","5","3","5"
"2026/04/23 1:28:51 PM GMT+5","20","3","8 часов","Более трех раз в неделю","Да, редко","Да","2 - 4 часа","Скроллинг соцсетей;Переписка с друзьями","6","5","2"
"2026/04/23 1:31:56 PM GMT+5","20","3","7 часов","Не занимаюсь спортом","Да, редко","Да","6 - 8 часов","Коммуникация по учебе или работе;Переписка с друзьями","5","7","6"
"2026/04/23 2:01:26 PM GMT+5","21","3","Менее 5 часов","Не занимаюсь спортом","Не читаю","Да","6 - 8 часов","Скроллинг соцсетей;Переписка с друзьями","4","7","7"
"2026/04/23 2:44:26 PM GMT+5","22","3","5 часов","Два - три раза в неделю","Не читаю","Да","6 - 8 часов","Скроллинг соцсетей;Переписка с друзьями;Игры","1","7","7"
"2026/04/23 3:14:31 PM GMT+5","19","2","7 часов","Два - три раза в неделю","Да, редко","Да","8 - 10 часов","Скроллинг соцсетей;Переписка с друзьями","4","4","2"
"2026/04/23 3:19:13 PM GMT+5","20","3","8 часов","Не занимаюсь спортом","Не читаю","Да","2 - 4 часа","Коммуникация по учебе или работе;Переписка с друзьями","5","5","4"
"2026/04/23 3:19:56 PM GMT+5","21","3","7 часов","Не занимаюсь спортом","Да, редко","Нет","2 - 4 часа","Скроллинг соцсетей;Переписка с друзьями","2","4","6"
"2026/04/23 3:23:43 PM GMT+5","20","3","6  часов","Более трех раз в неделю","Да, часто","Нет","2 - 4 часа","Коммуникация по учебе или работе;Переписка с друзьями;Другое","4","3","6"
"2026/04/23 3:25:31 PM GMT+5","21","3","6  часов","Два - три раза в неделю","Не читаю","Да","2 - 4 часа","Коммуникация по учебе или работе;Скроллинг соцсетей;Переписка с друзьями;Просмотр обучающего контента","4","4","4"
"2026/04/23 3:26:16 PM GMT+5","21","3","5 часов","Два - три раза в неделю","Да, редко","Да","4 - 6 часов","Коммуникация по учебе или работе;Переписка с друзьями","4","3","5"
"2026/04/23 3:33:34 PM GMT+5","18","1","7 часов","Раз в неделю","Да, часто","Нет","8 - 10 часов","Коммуникация по учебе или работе;Скроллинг соцсетей","2","7","7"
"2026/04/23 3:35:58 PM GMT+5","20","3","8 часов","Раз в неделю","Не читаю","Да","Более 10 часов","Коммуникация по учебе или работе","5","3","4"
"2026/04/23 3:42:43 PM GMT+5","20","3","5 часов","Более трех раз в неделю","Да, редко","Да","8 - 10 часов","Коммуникация по учебе или работе;Переписка с друзьями","6","4","5"
"2026/04/23 3:42:54 PM GMT+5","20","3","7 часов","Не занимаюсь спортом","Да, часто","Да","8 - 10 часов","Коммуникация по учебе или работе;Скроллинг соцсетей;Переписка с друзьями;Игры","5","5","7"
"2026/04/23 3:46:10 PM GMT+5","18","1","7 часов","Два - три раза в неделю","Да, часто","Нет","2 - 4 часа","Коммуникация по учебе или работе;Переписка с друзьями;Игры","7","4","3"
"2026/04/23 3:56:47 PM GMT+5","20","3","7 часов","Не занимаюсь спортом","Не читаю","Нет","4 - 6 часов","Коммуникация по учебе или работе;Скроллинг соцсетей;Переписка с друзьями","4","3","4"
"2026/04/23 4:02:26 PM GMT+5","20","3","7 часов","Не занимаюсь спортом","Не читаю","Да","Более 10 часов","Скроллинг соцсетей;Переписка с друзьями","6","4","6"
"2026/04/23 4:07:59 PM GMT+5","20","3","5 часов","Два - три раза в неделю","Да, редко","Да","6 - 8 часов","Коммуникация по учебе или работе;Скроллинг соцсетей","5","4","5"
"2026/04/23 4:12:09 PM GMT+5","22","4","Менее 5 часов","Более трех раз в неделю","Да, часто","Нет","4 - 6 часов","Коммуникация по учебе или работе;Переписка с друзьями","5","1","6"
"2026/04/23 4:22:47 PM GMT+5","20","3","7 часов","Два - три раза в неделю","Не читаю","Да","6 - 8 часов","Скроллинг соцсетей;Переписка с друзьями","6","6","5"
"2026/04/23 4:27:50 PM GMT+5","21","3","6  часов","Не занимаюсь спортом","Да, редко","Да","6 - 8 часов","Коммуникация по учебе или работе;Скроллинг соцсетей;Переписка с друзьями","2","5","7"
"2026/04/23 4:35:08 PM GMT+5","21","3","8 часов","Раз в неделю","Не читаю","Нет","4 - 6 часов","Скроллинг соцсетей;Переписка с друзьями","3","5","6"
"2026/04/23 4:36:29 PM GMT+5","20","3","7 часов","Более трех раз в неделю","Да, редко","Да","4 - 6 часов","Скроллинг соцсетей;Другое","3","7","7"
"2026/04/23 4:41:13 PM GMT+5","20","2","7 часов","Раз в неделю","Да, редко","Нет","2 - 4 часа","Коммуникация по учебе или работе;Скроллинг соцсетей;Переписка с друзьями;Просмотр обучающего контента;Другое","4","3","5"
"2026/04/23 4:41:28 PM GMT+5","20","3","6  часов","Раз в неделю","Да, часто","Нет","2 - 4 часа","Коммуникация по учебе или работе;Скроллинг соцсетей;Переписка с друзьями","7","1","2"
"2026/04/23 6:15:26 PM GMT+5","20","3","7 часов","Раз в неделю","Да, часто","Да","8 - 10 часов","Другое","6","5","5"
"2026/04/23 7:27:54 PM GMT+5","21","3","7 часов","Раз в неделю","Да, редко","Да","2 - 4 часа","Игры;Другое","5","6","4"
"2026/04/24 12:21:07 AM GMT+5","20","2","7 часов","Два - три раза в неделю","Да, редко","Да","4 - 6 часов","Скроллинг соцсетей;Переписка с друзьями","4","5","6"
"2026/04/24 11:34:32 AM GMT+5","20","3","5 часов","Не занимаюсь спортом","Да, редко","Нет","Более 10 часов","Коммуникация по учебе или работе","4","6","7"
"2026/04/24 12:34:30 PM GMT+5","18","1","7 часов","Два - три раза в неделю","Да, часто","Нет","Более 10 часов","Коммуникация по учебе или работе;Скроллинг соцсетей;Просмотр обучающего контента","6","2","2"
"2026/04/24 2:36:43 PM GMT+5","19","2","7 часов","Не занимаюсь спортом","Да, часто","Нет","Менее 2 часов","Переписка с друзьями;Просмотр обучающего контента","5","4","5"
"2026/04/24 3:20:17 PM GMT+5","21","3","7 часов","Раз в неделю","Да, редко","Нет","2 - 4 часа","Коммуникация по учебе или работе;Скроллинг соцсетей;Переписка с друзьями","5","4","6"
"2026/04/24 3:22:04 PM GMT+5","21","3","7 часов","Два - три раза в неделю","Да, редко","Нет","4 - 6 часов","Коммуникация по учебе или работе;Игры","3","4","6"
"2026/04/24 3:24:41 PM GMT+5","21","3","8 часов","Два - три раза в неделю","Да, редко","Да","4 - 6 часов","Коммуникация по учебе или работе;Скроллинг соцсетей;Переписка с друзьями;Просмотр обучающего контента","2","6","5"
"2026/04/24 3:35:26 PM GMT+5","20","3","7 часов","Два - три раза в неделю","Не читаю","Да","6 - 8 часов","Скроллинг соцсетей;Переписка с друзьями","5","7","4"
"2026/04/24 3:38:49 PM GMT+5","20","3","8 часов","Не занимаюсь спортом","Не читаю","Да","2 - 4 часа","Коммуникация по учебе или работе;Переписка с друзьями","4","5","3"
"2026/04/24 4:06:02 PM GMT+5","19","2","8 часов","Два - три раза в неделю","Да, часто","Нет","6 - 8 часов","Скроллинг соцсетей;Переписка с друзьями","5","6","4"
"2026/04/24 4:09:18 PM GMT+5","20","2","6  часов","Не занимаюсь спортом","Да, редко","Нет","2 - 4 часа","Скроллинг соцсетей;Игры;Другое","4","4","3"
"2026/04/24 4:16:55 PM GMT+5","20","3","7 часов","Не занимаюсь спортом","Да, редко","Нет","4 - 6 часов","Скроллинг соцсетей;Переписка с друзьями","4","7","6"
"2026/04/24 5:01:14 PM GMT+5","19","2","7 часов","Два - три раза в неделю","Не читаю","Да","4 - 6 часов","Игры","5","5","4"
"2026/04/24 6:19:39 PM GMT+5","19","2","6  часов","Раз в неделю","Да, редко","Да","2 - 4 часа","Коммуникация по учебе или работе;Скроллинг соцсетей","4","5","5"
"2026/04/24 6:46:31 PM GMT+5","19","2","8 часов","Не занимаюсь спортом","Да, редко","Да","4 - 6 часов","Коммуникация по учебе или работе;Скроллинг соцсетей","6","4","4"
"2026/04/24 6:57:15 PM GMT+5","20","3","8 часов","Два - три раза в неделю","Не читаю","Да","2 - 4 часа","Коммуникация по учебе или работе;Скроллинг соцсетей;Переписка с друзьями;Просмотр обучающего контента;Другое","4","5","4"
"2026/04/24 7:31:29 PM GMT+5","22","3","9 часов","Два - три раза в неделю","Да, редко","Нет","6 - 8 часов","Скроллинг соцсетей;Переписка с друзьями;Игры","6","7","5"
"2026/04/24 8:03:26 PM GMT+5","23","4","6  часов","Два - три раза в неделю","Да, часто","Да","4 - 6 часов","Скроллинг соцсетей;Переписка с друзьями;Другое","5","4","6"
